VAR00004,q_5,VAR00001,q_6,q_7_score,q_8_score,q_9_score,q_10_score,q_11,q_12,q_12b,q_13_score,q_13_other,q_14_score,VAR00005,q_14_other,q_17_score,q_18,VAR00002,q_19a,q_19_0,q_19_1,q_19_2,q_19_3,q_19_4,q_19_5,q_19_6,q_19_7,q_19_8,q_19_9,VAR00003,q_fpxariert0,q_kanzenfjky,q_d3ivlmburb,q_3fueexkvwl,q_gakkxsofac,q_m2mvnd3r3r,q_fof2icttp0,q_ltutldrmhs,q_vt5wjrmxtg,q_4krhg77tje,q_kjkgzndrkt,q_ussvigksso,q_pvmuguroil,q_iz72txtptb,q_q2lihromvi,q_nfqulptv5t,q_5hqxgfdsfd,q_ospzhucp62,q_rkvsunpe6t,q_a8bqwufqm6,q_dmodwr41os,q_22_score,q_22_other,q_22b_score,q_22b_other,q_23,will_email_increase_coded,qualification,q_24,changes_in_behaviour_coded,q_25,changes_in_tech_coded,q_26,working_relationships_coded,additional_coding,q_1_score,q_2_score,q_2_other,q_3_score,q_4_score,q_ltejt7zene_score,q_nbqxn6dawh,Policy_coded,filter_$
The lack of verbal communication and interaction - more difficult to negotiate and discuss<br/><br/>Very blunt tool,4,The speed of communication<br/>Use of electrnic filing for communications,1,2,2,2,3,30,10,10,1,7,1,I have been at the receiving end of electronic bullying,5,2,15,The backwards and forwards nature of trying to agree meetings/protocols/documents etc would usually havebeen quicker with a phone call or a face to face meeting,7, ,2,3, ,5,6,7,8,9, ,I am sometimes copied into emails in order in order to 'support' the sender or to provide confirmation for the sender,8,5,7.5,6.5,8,10,9.9,9,10,10,10,5,10,9,8.5,5,10,10,6.1,8.9,10,2, , , ,Yes,1,0,Users could be encouraged to consider the effectiveness of sending emails especially if they are copying the initail message to a number of recipients<br/>Users should consider the nhumber of emailks thgeir recipient may receiev befre sending to evaluate the effectiveness and the efficiency of their chosen method of communication,1,No,99,A respect for each other and the role that they play in the organisation.<br/>A respect for ewach others veiws<br/>Preparedness to share views without feeling threatened or undermined,3, ,4,2,55,5,2,1,Very little!,99,0
None,99,"Systematic, good clear records.",2,9,1,9,2,180, , ,2,50,1,Always because of possible misinterpretation.,5,1,0, ,99, , , , , ,6,7,8, , ,The email was poorly constructed and relied upon a long trail to be fully understood.,6,5,8,8,3,6,5,10,7,10,10,6,10,9,7,6,6,10,5,10,9,2, , , ,Yes,1,0,Training,2,No,99,Effective communication. What is said is also what is heard.,2, ,15,1,55,4,1,2,Appropriate usage,6,1
Shortness and immediacy which can come across as flippant to the recipient,11,Immediacy and efficiency,1,4,1,3,2,30,50,40,2,50,1, ,99,1,0, ,99, , , , , , ,7,8, , ,Generally emails are sent that copy you in in order to cover peoples' backsides!! and have no direct relevance to you other than that,8,8.4,8.4,8.2,8.3,7.8,8.2,7.6,7.5,7.1,8,8.3,8.6,7.9,7.6,7.7,7.5,6.7,7.1,7.7,6.4,2, , , ,probably level off,2,0,dont know,99,forces an immediate response or the tendency maybe to forget,99,An environment where protocols and endless beaureacracy is not put in the way of common sense and customer-focussed delivery,8, ,15,2,55,3,1,2,sensible rules that forbid abuse obviously,8,1
nothing beats face to face communication,4,"quick responses, evidence of communication",1,2,1,2,2,30,10,10,1,2,1,proof read to ensure professional,5,2,10,responding to emails,9, , , , ,5, ,7,8,9, ,does send emails to avoid having face to face contact,5,5,2,1.3,10,5,5.1, , , , ,1.5, , , , , , , , , ,2, , , ,hopefully not,2,0, ,0, ,99,myself and the retention officer,99, ,15,4,21,2,2,2, ,99,0
People might not open their emails everyday.,13,Quick response to queries,1,1,1,1,2,30,20,20,2,50,2, ,99,1, , ,99, , , , , , , ,8, , ,General eamail to all staff is not relevant for my role within the college,8,7,7.8,7.9,8.9,5.3,8.3,7.3,6.6,4.7,2.6,8,8,5.9,8,8,2.1,5.1,6.8,8.3,1.7,1,1,1, ,"Yes. Electronic communication,I think, is the future",3,3, ,0,No,99,Listening to what others are saying not just hearing,2, ,7,4,41,5,2,1,Confidential infromation should not be recorded on an email,7,1
"You lose the personal interaction with colleagues and you can't be sure that the content has been read, accurately interpreted and acted upon.",4,"Quick, easy and can be accessed remotely and at a time suitable to all parties.",1,3,1,3,2,90,50,50,2,50,1, ,99,1,0, ,99, ,2, , ,5,6,7,8,9, ,"Same message from multiple sources happens quite often, colegua Cymru and dysg newsletters are sent to me direct and come from the principals secretary and in some cases from other senior managers.",9,2,3,6,7,5,6,5,6,5,5,1,1,7,6,6,6,6,5,6,5,2, , , ,Yes,1,0,Yes,0,No,99,One where there is open and frank discussion.,2, ,15,2,55,5,2,4, ,99,0
"Speed....its often quicker to leave a voicemail and I have to think carefully about my choice of words when I write, as clearly you cant hear the intonation of my voice.",2,Convenience.....I can do it at anytime without fear of disturbing anyone also it becomes written documentation. No disputing what someone has said in an email as its there in black and white (as long as you get the tone right!),1,2,1,2,2,60,15,15,2,99,1,I think about how they will interpret my message,5,1, ,N/A,99, ,2, , ,5,6,7,8,9, ,"Aggressive tone: I have had people email me about something that they are not happy about. Using an sggresive tone or terminology/short, cutting reply etc. means that they have expressed their feelings without actually having to face my direct response. I find it a little cowardly, distinctly unprofessional and disrespectful....I wouldn't dream od treating someone like that. it doesn't feel good.",2,8.5,8.1,9.2,8.9,5.9,3.3,8.2,8.3,9.9,9.9,8.3,7.6,8.4,8.6,2.7,8.7,8.5,8.4,9.9,6.8,2, , , ,"Yes, I'm sure it will, but it will never substitute for a verbal conversation and at times that is exactly what's needed.",3,8,I think that between staff it would be handy just to write your message without the formalities...I'd only do that with people I was very familiar with and who I knew wouldn't be offended if I didn't start Hi...so and so...and end with cofion a diolch.,1,Not really. If I access Outlook on my phone it comes up in tiny text...thats quiet annoying but I guess its my phone's fault?,3,"See above. A good working relationship, is open, respectful, supportive, enabling and accepting.",6, ,15,4,21,4,2,3,I'm finding this hard to answer...I'm not sure....perhaps that I am mindful of ensuring that group emails go out to the right people instead of blanket coverage.,5,1
Some people don't always read it when it is sent - usually urgent ones or question ones asked during the day when the person in question is unavailable on the phone,6,Hard copy evidence of information passed on time and in full. Get a permanent log of any info required to cover various degrees of urgency. Also used to get the same message to multiple people in one go,2,1,3,1,1,20,10,10,2,98,1,it has to be worded correctly so the reader doesnt misunderstand the message.,5,1, , ,99, , , , , , , ,8, , ,I am based in a satellite centre for the college - I don't really need to know if their main canteen is open since im a 40 min drive away from it!,8,7,8.9,5.4,9.1,6.1,7.1,3,3.2,8.9,8.7,8.8,9.2,6.3,9.6,6.7,9.1,7.2,7.9,8.9,9.2,2, ,2, ,Yep if this is the normal thing that will happen I also have a feeling video conferencing will come back to the fore,3,3,"If the emails are relevant, based on the current role of the person receiving the mail. Polite concise and to the point",1,nope,99,where comms regardless of medium is passed efficiently and effectively between person or persons.,2, ,3,4,44,4,1,2,no examples at this time,99,0
People often expect instant responses;<br/><br/>Some people respond without considering the impact of the message;<br/><br/>The increasing volumes can be stressful.,12,The ability to send messages to a range of people quickly and efficiently;<br/><br/>Being able to stay on top of your work from a remote location.,1,4,1,5,2,120,30,30,1,5,1,so that I am not blocking their inbox with irrelevant messages,1,2,10,Filtering irrelevant e-mails and SPAM.,2, ,2, , ,5,6,7,8,9, ,"I regularly receive e-mails that are poorly written and littered with spelling mistakes, which is very poor for an educational environment.<br/><br/>Also some people manage difficult conversations by sending an e-mail - this is very bad practice.",6,2,8,10,7,8,1.5,10,7,10,10,2,10,10,7,6,8,10,7,10,10,2, , , ,Yes,1,0,More consideration on the recipients of messages so that those copied in are appropriate.<br/><br/>Users should consider whether they would send the same information out on headed notepaper.,1,"People sometimes consider e-mail to be a casual form of communication, rather than official communication from their organisation.  This can lead to inappropriate communication.",9,"Mutual respect, courtesy and consideration for all colleagues.",6, ,11,1,55,4,2,1,They help me ensure that I use e-mail in a way that is appropriate and professional.,6,1
"Lack of face to face communication, losing a personal touch. Lack of sensitivity when copying other members of staff in.too much management is carried out by email!",4,speed,1,1,1,2,2,20,10,5,1,50,1,wording it in the appropriate tone,5,2,10,time spent unescessarily composing email to reply,9, ,2,3, ,5,6, ,8, , ,"tone of emails from a line manager, inapproriately copying other members of staff in",2,8,2.1,3,5.3,9.2,8.5,3,3.2,4.3,3.2,2.1,3.3,6.4,5.1,4.2,9.2,3.7,4.2,4.2,9.3,2, , , ,yes,1,0,put more thought into what is being written and the manner it is wrtitten in,1,no,99,More personal communication with staff/colleagues,2, ,15,4,21,5,2,4, ,99,0
dim trafodaeth wyneb yn wyneb<br/>dim sicrwydd fod y derbynnydd yn ei darllen,4,arbed amser<br/>cael ateb cyflym os cant eu darllen,1,2,1,3,2,60,12,12,1,2,1, ,99,2, , ,99, , , , ,5, ,7,8,9, ,wrth herio methiant i gyflawnu rhywbeth,1,7.5,10,8,8,10,6.6,8.9,9,10,10,9,10,8,8.1,6.6,10,8.9,9,10,9.9,2, , , ,Ydw- oherwydd y cynnydd o berchnogaeth Ipad Iphone ag ati,3,3, ceisio cael pobl i'w darllen!,1,-,99,osgoi bod yn anghwrtais ac yn ymosodol,6, ,15,3,99, ,1,1, ,99,0
Ease of use and distribution results an overload of information<br/>technical issues<br/>Need access to computer/ internet<br/>Makes the receiver too accessible,1,Record/ audit trail of conversations<br/>Reply can be at your convenience<br/>Receiver can deal with it at their convenience<br/>Ease of dissemmination of infomration,2,2,1,2,2,50,5,10,1,2,1,Tone of message and un-necessary information,5,1, , ,99, , , , , ,6,7,8, , ,Hastily complsed without due consideration - emails reagrding work not completed as requested being sent to all instead of the actual culprits - makes you worry that you may not have done something when you have,7,5,8.1,5,7.9,5.4,5.1,8.9,8.7,10,9.3,9.5,9.7,8.6,9.3,5.2,9.2,9.1,9.4,9.4,9.2,2, , , ,Yes,1,0,Avoiding inappropriate use of blanket distribution lists,4,Lack of IT skillls,10,Respectful and supportive but also challenging,6, ,15,4,15,5,2,2,Awareness of appropriate content for email,6,1
Time and messages not clear or miss understood.,2,Audit trail,2,1,1,1,2,20,10,10,2,98,1,Will they understand,5,2,28,Junk,2,1,2,3,4,5,6,7,8,9, ,Multiple. With someone adding their own little bit which is not required.,9,4.8,3.3,6.4,7,6.5,5.4,7.4,3.2,8.6,5.7,4.2,6.7,5.6,6.7,5.2,4.8,4,5.9,6.2,5.5,2, , , ,Yes,1,0,Give more time,5,Not always understanding what can be done interaction with other programmes,10,Interaction,2, ,15,4,88,4,1,3,Not sure,99,0
As it is so easy to communicate with lots of people Everyone gets lots of emails of only marginal importance or relevancce which are a major distraction from their main role (& this is before we consider spam other other total irrelevant emails that one has to delete daily),1,It enables group conversations - ie you can ask more than one person at a time to take action or provide information.  It is easy & effecient to attach files / information,4,3,1,8,2,167,30,30,1,2,1,I ama aware of colleagues busy workloads so try not to ask for stauff unless necessary,1,2, ,One example is trying to find an old email that has not been saved<br/><br/>Another is repsonding to an old email when the issue has subsequently been dealt with<br/><br/>Possibly geeting involved in a margial issue that is of interest but not relevant to one's most urgent task<br/><br/>Having to send for the same information or ask that things be done repeatedly,8, , , , , ,6,7,8,9, ,I often get asked to comment upon specific currciculum matters about which I know relatively little,1,5.9,10,10,4.3,2.5,3.8,10,1,10,10,5.3,10,10,2.5, ,5.2,10,3.3,10,10,2, , , ,Probably at a more or less maximum level now,4,11,Possibly,0,Limits on size of attachmenst can sometimes cause difficulty,6,Mutual respect is the key.,6, ,15,1,55,5,1,2,I cannot think of an example - I would not expect to recieve anything offensive & would not think of sending anything,8,1
Responding before thinking i.e if you are angry about something. Sending to someone who was not meant to see the message or the thread of messages.,11,"Easy to use, quick and instant messaging.",1,2,1,2,2,60,20,20,2,50,1,some messages make me angry,5,1, , ,99, ,2, , ,5,6,7,8,9, ,"All are important but particulary aggressive tone and poorly written.  On the whole the aggressive is not aimed at me but usually a senior manager out of frastration and poorly written from a high level manager which really is not acceptable, no care taken.",2,5.4,3.9,8,6,8.1,7.9,5.6,7.7,4.6,6.6,4.8,6.9,6.8,5.7,4.6,5.1,4.7,6,6.5,7.5,2, , , ,yes especially with the impending changes taking place within the organisation.,3,7,Think and check before pressing send.,5,non,99,Stress the recipient and sender are under when requiring information. People are always busy and if the colleague works in the field being able to make contact is very important.,6, ,15,3,99,4,2,1,I'm not the sort of person that would use technology to be offensive to anyone so i'm confident that any thing sent would not be deemed as inappropiate.,6,1
can be rushed and ill thought through. Puts pressure on the recipient to act qucikly,12,speed.,1,5,1,7,2,99,20,20,1,2,1, ,99,1, , ,99, , , , , ,6, , , , , ,99, , , ,2.4, , , , ,5.1,9.8, , , , , , , , , , ,2, , , ,yes,1,0,acceptable useage training should be given,2,no,99,developing a rapport and understanding of roles,6, ,5,1,55,4,2,1, ,99,0
"Information can be misinterpreted, although this is the same for traditional mail",11,"Speed,",1,1,1,2,2,30, , ,2,50,2, ,99,1, , ,99, ,2, , , ,6,7, , , , ,99,10,10, ,10, ,1, , , , , , , , , , , , , , ,2, , , ,yes,1,0,I don't,99,No,99, ,99, ,7,4,36,4,1,2, ,99,0
People don't actually talk to each other so it can be slower,4,Can be accessed when it suits.<br/>Keeps an audit trail (covers backsides!)<br/>,4,1,1,2,2,40, , ,1,5,1,"Must be considered, it is communication",5,2,15,Replying to uneccessary emails,9, , , , ,5,6,7,8,9, ,Content that is not relevant,8,1,1, , , , , , , , , , , , , , , , , , ,2, , , ,Yes,1,0,Think before you send & find another way if appropriate,1,Allowable size of attachments,6, ,99, ,15,2,55,5,1,4,If there are policies then no one has enlightened me!,99,0
